iter	Logloss
0	0.5987494692
1	0.562750804
2	0.5460361719
3	0.5383046513
4	0.5343451366
5	0.5323174705
6	0.5309813016
7	0.5298757209
8	0.5293014937
9	0.5288037568
10	0.5283556374
11	0.5279296163
12	0.5274660118
13	0.5271604747
14	0.5268327811515	0.5265271193
16	0.5262540262
17	0.5261089981818	0.5260933201919	0.5257470484
20	0.5255960021	21	0.5254013825
22	0.5251996623	23	0.5250558929
24	0.5247150444
25	0.5244377173
26	0.5242276144
27	0.5240850902
28	0.5239611957
29	0.5237788797
30	0.5235367731
31	0.5233522261
32	0.5229473465
33	0.5227288398
34	0.5223937003
35	0.5220696886
36	0.5217674491
37	0.5216199107
38	0.5212930027
39	0.5210601007
40	0.5208254182
41	0.5205950278
42	0.5202062584
43	0.5199838981
44	0.5197747504
45	0.519602756
46	0.5194112593
47	0.5191844238
48	0.5190380942
49	0.5190083648
50	0.5188192249
51	0.5186482818
52	0.5184915553
53	0.518381392
54	0.5181299669
55	0.5177875917
56	0.517591164
57	0.5174632389
58	0.5172214065
59	0.5170489116
60	0.51685061	0.61	0.51670862	062	0.5165287067
63	0.516324164	64	0.516216565	065	0.516068666	066	0.516038167	067	0.51585568	0.68	0.51565169	0.69	0.51529770	0.70	0.51501571	0.71	0.51480972	0.72	0.51480873	0.73	0.51464074	0.5132165664
75	0.5130874179
76	0.5128615849
77	0.5126462603
78	0.5125770138
79	0.5123757351
80	0.5121646485
81	0.5120835745
82	0.5117979408
83	0.5116254345
84	0.5113934292
85	0.5111427711
86	0.5109877608
87	0.5108021652
88	0.5106375319
89	0.5105494098
90	0.510341807
91	0.5101696101
92	0.5099580668
93	0.5098271482
94	0.5096720735
95	0.5096131251
96	0.5095339035
97	0.5093252442
98	0.509165913
99	0.5090421383
100	0.5088914653
101	0.5087498425
102	0.5086153677
103	0.5084243092
104	0.5083692228
105	0.5081192342
106	0.5080172586
107	0.5078583472
108	0.5077335115
109	0.5075895363
110	0.5073792628
111	0.5072252074
112	0.5070630206
113	0.5068527869
114	0.5066665482
115	0.5065183964
116	0.5063610792
117	0.5061981565
118	0.5059417102
119	0.5058630794
120	0.5057122257
121	0.5054844321
122	0.5052679145
123	0.5050875388
124	0.5049363911
125	0.5047484352
126	0.5045667667
127	0.5043794498
128	0.50429886
129	0.5041398738
130	0.5039843036
131	0.5038254562
132	0.503678242
133	0.5035956668
134	0.5034498386
135	0.5033473424
136	0.5031271906
137	0.5030238675
138	0.5028857576
139	0.5027263169
140	0.5025085605
141	0.5024124693
142	0.5022440553
143	0.5021204957
144	0.5019150337
145	0.5016302922
146	0.5014402608
147	0.5012313813
148	0.5010407697
149	0.5008464833
150	0.5006436468
151	0.500517202
152	0.5003998474
153	0.5002095965
154	0.5001429479
155	0.4999443021
156	0.4997644594
157	0.4996020801
158	0.4994658156
159	0.4993274422
160	0.499169598
161	0.4991011231
162	0.4989490972
163	0.4987967223
164	0.4985666837
165	0.4984543308
166	0.498371683
167	0.49821401
168	0.4981924831
169	0.4980667157
170	0.497970719
171	0.4978627568
172	0.4977755134
173	0.4976650562
174	0.49752051
175	0.4974543649
176	0.4972453633
177	0.4971116599
178	0.4969982661
179	0.4968304611
180	0.4966920799
181	0.4965248606
182	0.4963782937
183	0.4963270862
184	0.496204267
185	0.4960805562
186	0.4959497462
187	0.4957704476
188	0.4956695921
189	0.4955595033
190	0.4955058094
191	0.4953685631
192	0.4952502759
193	0.4951201082
194	0.4949526355
195	0.4947545953
196	0.4946930544
197	0.4946189277
198	0.4945170168
199	0.494423749
.4955099557
